test_filename train_filename dist1 dist2 dist3 dist4 dist5
ML013.jpg WL013.jpg 10378.973 10378.973 0.927 0.041 0.786
ML013.jpg WL014.jpg 9934.088 9934.088 0.933 0.038 0.787
ML013.jpg WL015.jpg 9307.961 9307.961 0.934 0.038 0.828
ML013.jpg WL016.jpg 20298.904 20298.904 0.700 0.124 0.611
WL009.jpg image003.jpg 4926.812 4926.812 0.984 0.015 0.885
WL009.jpg image004.jpg 4918.770 4918.770 0.984 0.018 0.883
WL009.jpg image005.jpg 4886.294 4886.294 0.984 0.019 0.885
WL009.jpg image006.jpg 6464.629 6464.629 0.973 0.025 0.841
WL009.jpg image008.jpg 5434.858 5434.858 0.980 0.021 0.873
WL009.jpg image009.jpg 14334.370 14334.370 0.857 0.055 0.742
WL009.jpg image010.jpg 12509.609 12509.609 0.890 0.060 0.743
WL009.jpg image011.jpg 12868.047 12868.047 0.882 0.068 0.725
WL009.jpg image012.jpg 5650.134 5650.134 0.980 0.018 0.865
WL009.jpg image013.jpg 5786.659 5786.659 0.979 0.020 0.860
WL009.jpg image014.jpg 9578.565 9578.565 0.939 0.029 0.817
WL009.jpg image015.jpg 6173.280 6173.280 0.974 0.022 0.861
WL009.jpg image016.jpg 4808.455 4808.455 0.985 0.014 0.885
WL009.jpg image017.jpg 5113.729 5113.729 0.984 0.016 0.878
WL009.jpg image019.jpg 9530.202 9530.202 0.941 0.040 0.792
WL009.jpg image020.jpg 11756.498 11756.498 0.903 0.052 0.764
WL009.jpg image021.jpg 7286.512 7286.512 0.969 0.027 0.823
WL009.jpg image022.jpg 6531.761 6531.761 0.973 0.026 0.846
WL009.jpg image023.jpg 4743.300 4743.300 0.986 0.016 0.884
WL009.jpg image027.jpg 4762.723 4762.723 0.985 0.017 0.900
WL009.jpg image030.jpg 17612.173 17612.173 0.802 0.083 0.681
WL009.jpg image031.jpg 6268.445 6268.445 0.974 0.025 0.853
WL009.jpg image032.jpg 6330.714 6330.714 0.978 0.023 0.848
WL009.jpg image033.jpg 6905.276 6905.276 0.968 0.026 0.865
WL009.jpg image035.jpg 10965.664 10965.664 0.920 0.044 0.777
WL009.jpg image036.jpg 14052.424 14052.424 0.857 0.065 0.727
WL009.jpg image037.jpg 5816.112 5816.112 0.977 0.017 0.866
WL009.jpg image038.jpg 5876.573 5876.573 0.977 0.025 0.854
WL009.jpg image039.jpg 5857.710 5857.710 0.981 0.020 0.860
WL009.jpg image040.jpg 7272.060 7272.060 0.966 0.037 0.819
WL009.jpg image042.jpg 15036.131 15036.131 0.848 0.072 0.696
WL009.jpg image043.jpg 5476.073 5476.073 0.983 0.016 0.875
